Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
AE-GAN,SVM,12,0.18055555555555555,0.06467661691542288,0.09523809523809523,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,13,0.12429378531073447,0.11578947368421053,0.11989100817438691,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,14,0.11284046692607004,0.14427860696517414,0.12663755458515283,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,15,0.17,0.1691542288557214,0.16957605985037408,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,16,0.15577889447236182,0.15422885572139303,0.155,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,18,0.16417910447761194,0.16417910447761194,0.16417910447761194,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,20,0.1951219512195122,0.19900497512437812,0.19704433497536947,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,21,0.16243654822335024,0.15920398009950248,0.16080402010050251,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,22,0.03875968992248062,0.13157894736842105,0.059880239520958084,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,23,0.045454545454545456,0.021739130434782608,0.029411764705882353,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,24,0.0,0.0,0.0,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,25,0.0,0.0,0.0,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,26,0.25,0.07407407407407407,0.11428571428571428,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,27,0.05555555555555555,0.25,0.09090909090909091,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,28,0.0,0.0,0.0,0.20070370913355812,0.13364442827601908,
AE-GAN,SVM,29,0.05263157894736842,0.1111111111111111,0.07142857142857142,0.20070370913355812,0.13364442827601908,
AE-GAN,Decision Tree,0,0.40071343638525564,0.2808333333333333,0.33023027927486526,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,1,0.22580645161290322,0.105,0.14334470989761092,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,2,0.12297734627831715,0.1890547263681592,0.14901960784313725,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,3,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,4,0.12037037037037036,0.06467661691542288,0.08414239482200647,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,5,0.16,0.15920398009950248,0.1596009975062344,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,6,0.02962962962962963,0.05970149253731343,0.039603960396039604,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,8,0.13569321533923304,0.11471321695760599,0.12432432432432433,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,9,0.0845771144278607,0.0845771144278607,0.0845771144278607,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,10,0.023076923076923078,0.029850746268656716,0.026030368763557483,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,11,0.08118081180811808,0.10945273631840796,0.09322033898305085,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,12,0.05161290322580645,0.07960199004975124,0.06262230919765166,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,13,0.09202453987730061,0.15789473684210525,0.11627906976744186,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,14,0.03245749613601236,0.1044776119402985,0.049528301886792456,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,16,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,18,0.16417910447761194,0.16417910447761194,0.16417910447761194,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,20,0.19900497512437812,0.19900497512437812,0.19900497512437812,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,21,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,22,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,23,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,24,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,25,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,26,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,27,0.0040650406504065045,0.125,0.007874015748031496,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,28,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,Decision Tree,29,0.0,0.0,0.0,0.174168010555637,0.09731821584923463,
AE-GAN,KNN,0,0.43912737508796623,0.26,0.32661606909186075,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,1,0.171875,0.11,0.13414634146341464,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,2,0.13095238095238096,0.16417910447761194,0.1456953642384106,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,3,0.145,0.14427860696517414,0.14463840399002495,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,4,0.10382513661202186,0.1890547263681592,0.13403880070546736,0.18545667790646533,0.11613743749885265,
AE-GAN,KNN,5,0.12663755458515283,0.14427860696517414,0.13488372093023257,0.18545667790646533,0.11613743749885265,
